facility_name,state,industry_segment,reporting_year,gas_type,co2e_emissions_mt,production_boe
Permian Basin Gas Plant,TX,Onshore Production,2019,CO2,24167.4,890047.0
Permian Basin Gas Plant,TX,Onshore Production,2019,CH4,18455.1,889986.0
Permian Basin Gas Plant,TX,Onshore Production,2019,N2O,1318.2,645209.0
Permian Basin Gas Plant,TX,Onshore Production,2020,CO2,28274.6,2002788.0
Permian Basin Gas Plant,TX,Onshore Production,2020,CH4,21591.5,2270181.0
Permian Basin Gas Plant,TX,Onshore Production,2020,N2O,1542.2,551461.0
Permian Basin Gas Plant,TX,Onshore Production,2021,CO2,32038.2,2581107.0
Permian Basin Gas Plant,TX,Onshore Production,2021,CH4,24465.5,1030848.0
Permian Basin Gas Plant,TX,Onshore Production,2021,N2O,1747.5,954562.0
Permian Basin Gas Plant,TX,Onshore Production,2022,CO2,30493.5,1260606.0
Permian Basin Gas Plant,TX,Onshore Production,2022,CH4,23285.9,1811891.0
Permian Basin Gas Plant,TX,Onshore Production,2022,N2O,1663.3,1579863.0
Permian Basin Gas Plant,TX,Onshore Production,2023,CO2,34677.6,2029632.0
Permian Basin Gas Plant,TX,Onshore Production,2023,CH4,26481.1,848735.0
Permian Basin Gas Plant,TX,Onshore Production,2023,N2O,1891.5,1230362.0
Eagle Ford Compressor Station,TX,Transmission,2019,CO2,21959.2,1785586.0
Eagle Ford Compressor Station,TX,Transmission,2019,CH4,16768.8,1981036.0
Eagle Ford Compressor Station,TX,Transmission,2019,N2O,1197.8,616126.0
Eagle Ford Compressor Station,TX,Transmission,2020,CO2,24522.0,926310.0
Eagle Ford Compressor Station,TX,Transmission,2020,CH4,18725.9,662629.0
Eagle Ford Compressor Station,TX,Transmission,2020,N2O,1337.6,2872214.0
Eagle Ford Compressor Station,TX,Transmission,2021,CO2,26963.7,2520993.0
Eagle Ford Compressor Station,TX,Transmission,2021,CH4,20590.4,1261534.0
Eagle Ford Compressor Station,TX,Transmission,2021,N2O,1470.7,744180.0
Eagle Ford Compressor Station,TX,Transmission,2022,CO2,26279.6,1600381.0
Eagle Ford Compressor Station,TX,Transmission,2022,CH4,20068.0,805096.0
Eagle Ford Compressor Station,TX,Transmission,2022,N2O,1433.4,1737942.0
Eagle Ford Compressor Station,TX,Transmission,2023,CO2,23618.3,2773301.0
Eagle Ford Compressor Station,TX,Transmission,2023,CH4,18035.8,1146950.0
Eagle Ford Compressor Station,TX,Transmission,2023,N2O,1288.3,2156306.0
Bakken Wellpad Complex A,ND,Onshore Production,2019,CO2,19777.7,2923962.0
Bakken Wellpad Complex A,ND,Onshore Production,2019,CH4,15102.9,2437832.0
Bakken Wellpad Complex A,ND,Onshore Production,2019,N2O,1078.8,2848747.0
Bakken Wellpad Complex A,ND,Onshore Production,2020,CO2,23649.7,1994750.0
Bakken Wellpad Complex A,ND,Onshore Production,2020,CH4,18059.8,2804686.0
Bakken Wellpad Complex A,ND,Onshore Production,2020,N2O,1290.0,721231.0
Bakken Wellpad Complex A,ND,Onshore Production,2021,CO2,21376.9,613068.0
Bakken Wellpad Complex A,ND,Onshore Production,2021,CH4,16324.2,1313326.0
Bakken Wellpad Complex A,ND,Onshore Production,2021,N2O,1166.0,1471693.0
Bakken Wellpad Complex A,ND,Onshore Production,2022,CO2,22554.3,2571844.0
Bakken Wellpad Complex A,ND,Onshore Production,2022,CH4,17223.2,1391883.0
Bakken Wellpad Complex A,ND,Onshore Production,2022,N2O,1230.2,1202336.0
Bakken Wellpad Complex A,ND,Onshore Production,2023,CO2,24752.5,852311.0
Bakken Wellpad Complex A,ND,Onshore Production,2023,CH4,18901.9,2505492.0
Bakken Wellpad Complex A,ND,Onshore Production,2023,N2O,1350.1,686377.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2019,CO2,46010.2,2278355.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2019,CH4,35135.1,2475439.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2019,N2O,2509.6,2014900.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2020,CO2,57452.1,2127693.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2020,CH4,43872.5,2787399.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2020,N2O,3133.8,2625096.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2021,CO2,90660.5,738525.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2021,CH4,69231.6,1427046.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2021,N2O,4945.1,2172103.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2022,CO2,63948.1,1978244.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2022,CH4,48833.1,1186804.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2022,N2O,3488.1,1903109.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2023,CO2,65358.0,2929280.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2023,CH4,49909.7,2622285.0
DJ Basin Processing Facility,CO,Natural Gas Processing,2023,N2O,3565.0,2304324.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2019,CO2,16277.4,769729.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2019,CH4,12430.0,578573.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2019,N2O,887.9,2091026.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2020,CO2,27527.4,1771427.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2020,CH4,21020.9,2768916.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2020,N2O,1501.5,1123231.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2021,CO2,17434.3,2388878.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2021,CH4,13313.5,1071995.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2021,N2O,951.0,692450.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2022,CO2,16896.0,903053.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2022,CH4,12902.4,2824244.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2022,N2O,921.6,2520301.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2023,CO2,17991.1,2678651.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2023,CH4,13738.7,2509180.0
Anadarko Basin Gathering Hub,OK,Gathering and Boosting,2023,N2O,981.3,966425.0
Marcellus Shale Site 12,PA,Onshore Production,2019,CO2,48638.3,1295009.0
Marcellus Shale Site 12,PA,Onshore Production,2019,CH4,37142.0,775130.0
Marcellus Shale Site 12,PA,Onshore Production,2019,N2O,2653.0,1069838.0
Marcellus Shale Site 12,PA,Onshore Production,2020,CO2,46262.5,2545037.0
Marcellus Shale Site 12,PA,Onshore Production,2020,CH4,35327.7,2651826.0
Marcellus Shale Site 12,PA,Onshore Production,2020,N2O,2523.4,517380.0
Marcellus Shale Site 12,PA,Onshore Production,2021,CO2,49009.1,1543528.0
Marcellus Shale Site 12,PA,Onshore Production,2021,CH4,37425.1,1055270.0
Marcellus Shale Site 12,PA,Onshore Production,2021,N2O,2673.2,799663.0
Marcellus Shale Site 12,PA,Onshore Production,2022,CO2,49288.2,2857274.0
Marcellus Shale Site 12,PA,Onshore Production,2022,CH4,37638.3,1308007.0
Marcellus Shale Site 12,PA,Onshore Production,2022,N2O,2688.4,1796977.0
Marcellus Shale Site 12,PA,Onshore Production,2023,CO2,55221.1,1409074.0
Marcellus Shale Site 12,PA,Onshore Production,2023,CH4,42168.9,2929455.0
Marcellus Shale Site 12,PA,Onshore Production,2023,N2O,3012.1,2906118.0
Gulf Coast LNG Terminal,LA,Transmission,2019,CO2,32785.9,1166953.0
